,state,x,y
0,West Bengal,89,26
1,Rajasthan,-143,103
2,Jammu And Kashmir,-107,200
3,Uttar Pradesh,-32,86
4,Bihar,51,64
5,Assam,156,85
6,Odisha,30,-17
7,Tamil Nadu,-70,-180
8,Andra Pradesh,-53,-118
9,Madhya Pradesh,-61,26
10,Kerala,-99,-196
11,Karnataka,-111,-118
12,Maharashtra,-118,-32
13,Gujarat,-169,35
14,Nagaland,187,82
15,Punjab,-105,163
16,Himachal Pradesh,-71,181
17,Manipur,179,56
18,Meghalaya,122,70
19,Tripura,140,37
20,Sikkim,90,105
21,Goa,-138,-104
22,Arunachal Pradesh,181,126
23,Mizoram,166,32
24,Chattisgarh,-8,3
25,Jharkhand,36,37
26,Uttarkhand,-46,147
27,Telangana,-57,-65
28,Delhi,-79,118
29,Andaman And Nicobar,174,-191
30,Dadar And nagar Haveli,-161,-7
31,Daman And Diu,-187,-37
32,Lakshadweep,-172,-183
33,Puducherry,-45,-166
34,Ladhakh,-62,232
35,Haryana,-93,132
